?museum	?museumName
<http://localhost:8080/source/museum3>	"Castello del Buonconsiglio"
<http://localhost:8080/source/museum4>	"Palazzo delle Albere"
<http://localhost:8080/source/museum5>	"Museo dell'Aeronautica G. Caproni"
<http://localhost:8080/source/museum6>	"Museo Storico delle Truppe Alpine"
<http://localhost:8080/source/museum7>	"Palazzo Roccabruna - Enoteca provinciale del Trentino"
<http://localhost:8080/source/museum8>	"MUSE - Museo delle Scienze"
<http://localhost:8080/source/museum9>	"Torre Civica"
<http://localhost:8080/source/museum10>	"Museo Diocesano Tridentino"
<http://localhost:8080/source/museum11>	"S.A.S.S. - Spazio Archeologico Sotterraneo del Sass"
<http://localhost:8080/source/museum12>	"Galleria Civica"
<http://localhost:8080/source/museum13>	"Museo della S.A.T. "
<http://localhost:8080/source/museum14>	"Le Gallerie"
