?attraction	?name	?bus
<http://localhost:8080/source/natural_attractions0>	"Itinerario Riserva Naturalistica del Laghestel"	"bus_stop177"
<http://localhost:8080/source/natural_attractions1>	"Giro Dos Alt - Cime Alte"	"bus_stop179"
<http://localhost:8080/source/natural_attractions2>	"Sentiero di Segonzano"	"bus_stop237"
<http://localhost:8080/source/natural_attractions3>	"Giro dei Laghi"	"bus_stop178"
<http://localhost:8080/source/natural_attractions4>	"Lago di Serraia"	"bus_stop179"
<http://localhost:8080/source/natural_attractions5>	"Itinerario Lago di Lases - Lago di Santa Colomba"	"bus_stop226"
<http://localhost:8080/source/natural_attractions6>	"Itinerario Monte Corno"	"bus_stop103"
<http://localhost:8080/source/natural_attractions7>	"Itinerario Masi di Grumes - Cauria"	"bus_stop2335"
<http://localhost:8080/source/natural_attractions8>	"Dosso di Costalta"	"bus_stop824"
<http://localhost:8080/source/natural_attractions9>	"Itinerario Monte Calvo"	"bus_stop824"
<http://localhost:8080/source/natural_attractions10>	"Dosso di Segonzano - da Bedollo"	"bus_stop185"
<http://localhost:8080/source/natural_attractions11>	"Lago Santo di Cembra"	"bus_stop95"
<http://localhost:8080/source/natural_attractions12>	"Dos de la Mot"	"bus_stop832"
<http://localhost:8080/source/natural_attractions13>	"Lago di Lases"	"bus_stop226"
<http://localhost:8080/source/natural_attractions14>	"Lago di Santa Colomba"	"bus_stop218"
<http://localhost:8080/source/natural_attractions15>	"Trekking delle cave"	"bus_stop228"
<http://localhost:8080/source/natural_attractions16>	"Itinerario Monte Corona"	"bus_stop84"
<http://localhost:8080/source/natural_attractions17>	"Sentiero Maderlina"	"bus_stop90"
<http://localhost:8080/source/natural_attractions18>	"Passeggiata di Bedolpian"	"bus_stop178"
<http://localhost:8080/source/natural_attractions19>	"Pian del Gacc"	"bus_stop1883"
<http://localhost:8080/source/natural_attractions20>	"Sentiero lago Santo"	"bus_stop118"
<http://localhost:8080/source/natural_attractions21>	"Itinerario Val Regnana - Valle dei Mocheni"	"bus_stop184"
<http://localhost:8080/source/natural_attractions22>	"Sentiero Mancabrot e del lac de Montesel"	"bus_stop83"
<http://localhost:8080/source/natural_attractions23>	"Sentiero Val Regnana"	"bus_stop184"
<http://localhost:8080/source/natural_attractions24>	"Ecomuseo dell'Argentario"	"bus_stop2592"
<http://localhost:8080/source/natural_attractions25>	"Itinerario Malga Vernera - Rifugio Vasoni"	"bus_stop141"
<http://localhost:8080/source/natural_attractions26>	"Biotopo Laghestel"	"bus_stop175"
<http://localhost:8080/source/natural_attractions27>	"Itinerario Malga Stramaiolo"	"bus_stop824"
<http://localhost:8080/source/natural_attractions28>	"Itinerario Roccolo del Sauch"	"bus_stop84"
<http://localhost:8080/source/natural_attractions29>	"Itinerario Lago Santo - Passo Potzmauer"	"bus_stop95"
<http://localhost:8080/source/natural_attractions30>	"Itinerario lago di Valda - Castion"	"bus_stop101"
<http://localhost:8080/source/natural_attractions31>	"Sentiero dei Vecchi Mestieri"	"bus_stop103"
<http://localhost:8080/source/natural_attractions32>	"Lago delle Piazze"	"bus_stop182"
<http://localhost:8080/source/natural_attractions33>	"Itinerario lago di Serraia - lago delle Piazze"	"bus_stop178"
<http://localhost:8080/source/natural_attractions34>	"Piramidi di Terra di Segonzano"	"bus_stop237"
<http://localhost:8080/source/natural_attractions35>	"Dosso di Segonzano - da Segonzano"	"bus_stop237"
<http://localhost:8080/source/natural_attractions36>	"Biotopo Lona Lases e buche del ghiaccio"	"bus_stop226"
<http://localhost:8080/source/natural_attractions37>	"Sorgente Ferruginosa"	"bus_stop824"
<http://localhost:8080/source/natural_attractions38>	"Sentiero Bedollo - Brusago"	"bus_stop186"
<http://localhost:8080/source/natural_attractions39>	"Torbiera del Vedes"	"bus_stop103"
<http://localhost:8080/source/natural_attractions40>	"Lago delle Buse"	"bus_stop2235"
<http://localhost:8080/source/natural_attractions41>	"Biotopo Le Grave"	"bus_stop218"
<http://localhost:8080/source/natural_attractions42>	"Giro di Ceramonte"	"bus_stop179"
<http://localhost:8080/source/natural_attractions43>	"Roccolo del Sauch"	"bus_stop1814"
<http://localhost:8080/source/natural_attractions44>	"Sentiero del laghetto Vedes"	"bus_stop103"
<http://localhost:8080/source/natural_attractions45>	"CENTRO VISITATORI DEL PARCO NATURALE DI PANEVEGGIO"	"bus_stop734"
